,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
0,73,4.5,0,0,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,237.4628010945969,10.0,0.16680205036512594,1,0,0.0,4303527.688384354,0.003934027040437327,324
1,96,4.5,0,1,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,190.5011867654336,10.0,0.9867019045094128,1,0,0.0,0.0,0.0,324
2,54,3.5,0,2,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,279.60185885424045,1.5,0.4380575205873056,1,0,0.0,0.0,0.0,324
3,90,3.5,0,3,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,48.80335547194268,10.0,0.5323593613268258,1,0,0.0,0.0,0.0,324
4,31,3.5,0,4,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,135.2734882713084,1.0,0.15404806973284046,1,0,0.0,7327522.786440383,0.005400356337025569,324
5,21,1.5,0,5,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,232.07309640626534,10.0,0.42096893847959854,1,0,0.0,0.0,0.0,324
6,4,1.5,0,6,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,273.2402801352282,1.0,0.6621047327319387,1,0,0.0,0.0,0.0,324
7,76,4.5,0,7,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,161.5200070332872,1.0,0.7787233964543204,1,0,0.0,0.0,0.0,324
8,86,3.5,0,8,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,311.3832777837976,1.0,0.8734535447863442,1,0,0.0,0.0,0.0,324
9,24,4.5,0,9,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,181.19350543987042,1.5,0.20575451170188905,1,0,0.0,1410360.153024834,0.0012892667087354148,324
10,72,2.5,0,10,RfR-Ge DI-Ov max,dikesnet,333100000.0,0.0,A.1,99.95908939304952,10.0,0.31466651617268204,1,0,0.0,0.0,0.0,324
