,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,scenario,policy,model
265,5,284.6178787871885,1.0,0.2197458437326622,210.87608763319173,1.0,0.5133222136365684,228.8803996279236,1.0,0.0729523060988727,123.70531341113497,1.0,0.1617407747232373,135.53996644286693,1.5,0.6657557304675046,1.5,6409,policy 1,dikesnet
275,85,136.86431897223724,10.0,0.1895241455626578,228.00872250175016,10.0,0.9794532608201544,30.44912936448908,10.0,0.5100694122749369,108.71594089748358,1.0,0.5377481065646187,280.1460488883839,1.5,0.4184744789297642,2.5,6419,policy 1,dikesnet
282,108,105.52804326943424,1.5,0.2138419237117933,167.57956352319613,1.0,0.4921191002667137,139.81112890466943,1.5,0.7705834637677847,65.83008345389783,1.5,0.4338719975622874,159.73855338886003,1.0,0.9771341534073836,2.5,6426,policy 1,dikesnet
286,40,300.29229651745527,10.0,0.2444839478971079,264.4359728805512,1.0,0.1507813520386443,218.02966289868183,10.0,0.5487880352583825,224.05961649427584,10.0,0.0047020515809381,318.23023683615065,10.0,0.4166628749488127,2.5,6430,policy 1,dikesnet
289,125,97.94673932635096,10.0,0.0567213155409432,207.51461204378307,1.5,0.6735669326158465,310.9107019784655,1.5,0.7183606248413964,312.38581965165264,1.0,0.1267138975246587,260.9527008986795,1.0,0.4221629306157197,2.5,6433,policy 1,dikesnet
290,95,179.46579802905256,10.0,0.3115784815476368,210.43781592964015,1.5,0.8011469621970774,147.620405086152,10.0,0.4210924301703763,316.8909751153706,10.0,0.329413302954937,293.50421587105313,10.0,0.9215423884982156,1.5,6434,policy 1,dikesnet
294,17,40.22191363017242,10.0,0.2213936065559368,186.8023860356494,10.0,0.5611728767505999,57.78622204215483,1.5,0.4643287617279925,252.6770132365428,1.0,0.8445781195863549,98.60938308693876,1.5,0.6191252169844531,1.5,6438,policy 1,dikesnet
296,69,46.63687960809456,1.5,0.1311877081982412,59.05017447395677,10.0,0.0309002661026329,311.1467142808557,1.0,0.5348412140083756,92.48845932249264,10.0,0.5206561469674802,239.26950830209984,10.0,0.7128841078714034,2.5,6440,policy 1,dikesnet
301,1,151.24898948603845,1.5,0.3364020289994396,107.64946645896788,1.0,0.1865553818696053,264.0873116314076,1.5,0.3084722205651274,349.50194734400606,1.0,0.2517898812553639,244.95051630547687,1.5,0.6422954533013125,2.5,6445,policy 1,dikesnet
306,92,199.68669948470037,10.0,0.0387655669625833,31.902894530669645,1.5,0.6952542650999946,120.42383441735242,10.0,0.231857588782901,304.8530220414583,1.5,0.819986841380375,60.30070300590985,1.5,0.2741004359556742,1.5,6450,policy 1,dikesnet
308,55,198.4314231569476,1.0,0.1989658093681347,115.7689035884182,1.5,0.2077330135101124,309.3763276504596,1.5,0.4397455316762457,104.30460143263436,1.0,0.3002458636412489,241.42964929347477,1.5,0.5983280465670942,2.5,6452,policy 1,dikesnet
311,127,77.41794101522072,1.5,0.3331851704489527,122.13526829468051,1.0,0.5923166641940991,79.47415395923211,1.5,0.4094738431420652,313.7408758227993,1.5,0.4020422380396731,154.6629931508133,1.5,0.9529727086810356,2.5,6455,policy 1,dikesnet
315,23,234.22188522727555,1.5,0.0689812048515538,193.6451638589244,10.0,0.9677242853907776,339.04716226831687,1.5,0.6590442516614492,183.29956113162075,1.0,0.9551957704073356,309.1641442562998,1.5,0.0466543873772118,2.5,6459,policy 1,dikesnet
317,8,161.50844475278953,10.0,0.1103502228596478,104.66601199568768,1.0,0.8015146656692176,201.5670002398427,1.0,0.3878565146936976,303.1802825087435,10.0,0.256529303031167,202.4251682656074,10.0,0.9808582298455858,2.5,6461,policy 1,dikesnet
343,26,289.3394704679927,1.0,0.0375043624474825,296.3488941755368,1.0,0.8601752465818795,317.7525332235753,1.5,0.7321558799767091,306.9930305663396,1.0,0.8158121287175862,324.7426711141574,1.0,0.4070953593746453,2.5,6487,policy 1,dikesnet
348,126,333.6715598964011,1.5,0.0596410834891756,313.8113825381869,10.0,0.5423241991352287,156.14208315591722,1.0,0.8246299591386596,139.93208454109703,1.0,0.8442987697743674,217.51928312503568,1.5,0.8962203965404515,2.5,6492,policy 1,dikesnet
353,32,177.30471079259712,1.0,0.0536537674024711,189.84016407683316,1.0,0.7316017825467664,273.52362202655263,1.5,0.2304150888476884,48.34052897569987,1.5,0.5065073443963438,114.90206018148382,1.0,0.9116836977740438,1.5,6497,policy 1,dikesnet
355,78,114.01791101323256,1.0,0.1971825709624307,344.9385359676693,1.0,0.3742686813126302,55.251746644191975,1.0,0.3942939331182792,305.20684743786063,1.0,0.6112732590373469,70.97130239544438,10.0,0.4918044615642168,2.5,6499,policy 1,dikesnet
360,93,51.93614319811165,1.0,0.3353426926815892,282.8912093735214,1.0,0.3185165583510995,333.94732492418893,1.0,0.3503347327777472,260.58272397066577,1.5,0.221467831174466,285.2243164249966,10.0,0.0659899601852937,1.5,6504,policy 1,dikesnet
364,97,162.51422700144266,1.5,0.17414380501637,238.41783224217312,10.0,0.9168521929955652,30.26901555244921,1.5,0.8040015261601146,34.35887610348806,1.0,0.426830490539653,34.17197899454051,1.0,0.7725741986264174,1.5,6508,policy 1,dikesnet
366,102,139.3261780730585,1.5,0.1486519559041547,221.2364163603274,10.0,0.2162737068723196,88.48382664248045,1.0,0.242881489437657,188.91712040663637,1.5,0.3368890720839086,128.7499074699001,10.0,0.9911090183737502,2.5,6510,policy 1,dikesnet
368,32,243.5634072326909,10.0,0.1360083397188437,340.4967579867213,1.0,0.4148120510741847,128.89674165720916,1.5,0.7188112729249785,125.70167805600036,1.0,0.9116851835643612,336.0646167992529,10.0,0.345547968149711,1.5,6512,policy 1,dikesnet
382,90,62.26946182884123,10.0,0.0047444130641293,306.09599835113494,1.5,0.9205121859362576,55.96588890770387,1.5,0.850923380912619,48.28419541139846,10.0,0.3726820154681958,261.00512295280333,10.0,0.760899889141263,2.5,6526,policy 1,dikesnet
384,59,313.12587982924026,10.0,0.11539009556133,264.1136217231041,1.0,0.4509312568742332,279.460712938549,1.5,0.6442908892981796,78.63162280775364,10.0,0.29073508836597,311.4161321628449,1.0,0.200550281085489,2.5,6528,policy 1,dikesnet
388,3,83.16061560714513,1.0,0.0979099045414719,154.02282947113568,10.0,0.6170469554331941,224.06927272163807,10.0,0.3856509090718099,266.46044302667065,1.0,0.8493462722715936,128.86818824453053,10.0,0.7676555679578194,1.5,6532,policy 1,dikesnet
395,109,301.3791718638246,1.5,0.280648218553941,182.19944594628936,1.5,0.1195732219874062,236.28754721062796,1.5,0.5946042547856724,325.9082596877243,10.0,0.3801844863194055,299.0601346920655,1.5,0.818334563032552,1.5,6539,policy 1,dikesnet
400,116,213.1556834777297,10.0,0.183478453580077,291.8100767774438,1.5,0.9929397486340412,246.3601183048204,10.0,0.8481504190774051,321.6392171010914,10.0,0.6007378710198622,185.41877498246112,1.5,0.5296920608891065,2.5,6544,policy 1,dikesnet
413,123,139.50610712313002,1.0,0.1639884046808108,60.7000776180379,1.5,0.8171990460214812,40.09334969995378,10.0,0.0881756417213394,280.93887905573894,1.0,0.5342904877411636,277.18651754373224,10.0,0.9398839652520724,2.5,6557,policy 1,dikesnet
420,80,311.491553716908,10.0,0.3217289130464801,165.31649070485184,1.5,0.0018178072763692,80.37849268028918,10.0,0.1367240588904339,147.86371485257408,1.0,0.6978786297767853,291.47759198756535,10.0,0.8470069719464582,2.5,6564,policy 1,dikesnet
421,86,175.73295381420513,1.5,0.0931850404110312,180.02130124227517,10.0,0.0915535595333901,343.11210927596227,10.0,0.7713089129814026,66.65699133112113,10.0,0.1262922951154208,320.2709036817306,10.0,0.7605273978664682,1.5,6565,policy 1,dikesnet
427,7,120.25148620753414,1.0,0.1948318728766436,124.7645765424997,1.0,0.0093609573098395,281.56894486848887,1.0,0.8755086075518413,315.7132628212157,1.5,0.9689636658740892,195.6985375612253,1.5,0.4059449598995466,1.5,6571,policy 1,dikesnet
432,47,172.31980635182697,1.5,0.0301366467018545,273.7330951444054,10.0,0.4806487001594152,182.0572228291397,1.5,0.8571910816129572,249.3390735906984,1.5,0.7468759883351489,104.85892468987444,1.5,0.1656093022882497,2.5,6576,policy 1,dikesnet
441,31,45.83600443823596,1.0,0.2410382476191103,143.80601619106432,10.0,0.1935811636319468,110.76168577773936,1.0,0.2903461479484269,245.82601865315283,1.0,0.6512868011196405,339.2745073421815,1.0,0.899599981229193,1.5,6585,policy 1,dikesnet
444,57,312.36547315706434,10.0,0.1370046313771608,307.72726960009464,1.5,0.3015558988198191,142.4759325945987,1.0,0.6348779189325283,81.05539067970282,10.0,0.0017544482209719,85.25988675902234,10.0,0.7241614900715845,1.5,6588,policy 1,dikesnet
445,58,339.9516855480334,1.0,0.106738730413694,39.1661601910703,1.5,0.2363708352850831,102.57893717144384,1.0,0.830696534287127,259.6018524287444,1.5,0.1377932145387365,239.5245435058863,1.0,0.5364849513831966,2.5,6589,policy 1,dikesnet
452,125,86.57510477776822,1.0,0.0436863256171089,197.866861519988,1.0,0.4183957608563383,65.55933942225154,1.5,0.7701926754989288,196.71800342641265,1.0,0.0121730813065046,148.11253771629566,10.0,0.1554294313662718,1.5,6596,policy 1,dikesnet
459,74,38.11343436392846,10.0,0.1508641110386037,193.5249492708528,10.0,0.2571362131304195,291.95806043007184,10.0,0.1344792432455306,338.74137028706923,1.5,0.436443318846666,65.7386430648738,10.0,0.7948916949762066,1.5,6603,policy 1,dikesnet
461,98,230.7775368886236,10.0,0.1186094120538429,283.4655551596434,1.5,0.2653257623274545,144.88655838829234,1.0,0.6510561893130073,308.6091618978504,1.0,0.3007228059281236,59.57114313558474,10.0,0.061463901558517,2.5,6605,policy 1,dikesnet
463,115,288.7787998584015,1.5,0.0777073197296069,197.09432617193872,1.0,0.0992404161224082,199.97621801827663,1.0,0.6673117401513664,81.38049800119981,10.0,0.1531167519666907,154.0537419729381,1.5,0.9517277260241932,1.5,6607,policy 1,dikesnet
466,109,187.48574520352489,1.5,0.1563425006281136,58.29907390637037,1.5,0.6955026487455604,116.29670055050728,1.5,0.262861587312059,83.60181116971579,1.5,0.6648514822534074,220.7310251428391,1.5,0.2655166552562576,1.5,6610,policy 1,dikesnet
479,26,51.6842632649932,10.0,0.2997001622125286,252.22019846315405,1.5,0.6637792470364244,68.07490941678394,1.5,0.4067838089794348,264.5944186082837,1.5,0.597374888064706,296.50579498688336,1.0,0.8326558397904481,2.5,6623,policy 1,dikesnet
484,125,87.25731349747534,1.0,0.1190790602810389,273.9315874150556,1.5,0.3420831457177921,226.7505755511582,10.0,0.4434294748029968,322.5618897753998,10.0,0.6445419889837767,156.9539831190661,1.5,0.2123823873571317,2.5,6628,policy 1,dikesnet
487,27,249.51788938759304,1.0,0.1328833872181815,192.95909092144583,1.5,0.4415867797148862,210.1845546491748,1.0,0.6821204925598557,74.21682898262785,1.0,0.783212906841008,62.151798697465416,1.0,0.5616640289068086,1.5,6631,policy 1,dikesnet
489,109,102.67895846849174,1.5,0.0686732866428109,105.97955967571198,10.0,0.3828240082324175,170.89311224657595,10.0,0.4768091709399727,293.8279864255065,1.5,0.3831282095945862,163.8953333524417,1.0,0.2200791189986719,1.5,6633,policy 1,dikesnet
492,107,153.16975249495016,1.0,0.0652676699752406,302.6445414110036,1.0,0.4372691512639792,297.4638358793008,1.0,0.4043197434416739,346.6286735838088,1.5,0.6779354341012601,284.256188887931,1.5,0.6405430834745747,2.5,6636,policy 1,dikesnet
507,107,68.80096176620748,1.0,0.0148045700589753,332.59479563872884,10.0,0.9715283476760584,130.2704294514363,1.5,0.9198393325961972,208.68872746309663,1.5,0.1076904612037012,349.2225627827284,10.0,0.7127522543126297,2.5,6651,policy 1,dikesnet
520,120,247.8791626042296,1.0,0.1668889523230833,95.73073310920958,1.5,0.573028781298199,94.39460095211916,10.0,0.0868752759911944,103.37002467278808,1.5,0.6980081528240365,104.32525099253526,1.5,0.5088547722299712,2.5,6664,policy 1,dikesnet
522,94,258.2475322485743,1.0,0.2817379630238955,108.6069076717128,1.5,0.5770454812543776,156.6131094637754,10.0,0.722279414992059,236.4630888316488,1.0,0.1984476638478969,263.213725204143,10.0,0.2438215251169475,2.5,6666,policy 1,dikesnet
527,111,30.16878251059592,1.0,0.2122856127042662,139.09211816169017,1.0,0.8507703153247039,286.1275940610769,1.0,0.7265524143285979,93.4817318613294,1.5,0.3559352363883288,46.59978814726006,1.5,0.3272520564668121,1.5,6671,policy 1,dikesnet
530,43,35.84558301298263,1.0,0.1841738576480293,183.4629796373255,10.0,0.6077515185155498,212.9391954612803,10.0,0.0343393407738448,39.04463900820405,10.0,0.8244625443236718,187.2550531760735,1.0,0.7916229914468936,2.5,6674,policy 1,dikesnet
549,15,246.20282404310268,10.0,0.186989252930418,252.545018758476,1.0,0.792092946542286,54.43657414587631,1.0,0.2960570676574738,57.89097721011467,10.0,0.2880543525918451,292.2643742671688,10.0,0.5893775628029829,1.5,6693,policy 1,dikesnet
550,103,241.5824755270409,1.5,0.2442973868729036,105.22798710115016,1.0,0.3457663525986712,235.88691860873945,1.5,0.5891910657272255,348.4112385070967,10.0,0.2298155426156279,328.22834961471005,10.0,0.6289351274910723,1.5,6694,policy 1,dikesnet
554,48,163.51570817961002,1.5,0.186489077541387,192.52603522196583,10.0,0.7089179366716902,239.6507119047914,10.0,0.0017562197871457,216.75121644509656,10.0,0.0890284063875378,301.1744305031855,10.0,0.1898851610163647,1.5,6698,policy 1,dikesnet
562,6,32.26493977758009,10.0,0.2005650812648798,93.82911523748052,10.0,0.182161947315521,311.7037632638681,10.0,0.9075766821692288,133.72722403612596,10.0,0.7739439388874789,162.31249987608473,10.0,0.3085367167138552,1.5,6706,policy 1,dikesnet
569,30,125.6142937001507,10.0,0.1726730377811726,127.30796913455082,10.0,0.9616972575024328,90.22594455455337,1.0,0.6698581006647304,296.58574491248135,10.0,0.8512796428575964,231.93137436709912,1.5,0.7891254766762826,2.5,6713,policy 1,dikesnet
580,98,132.54575881372952,1.0,0.283730730096787,265.9727555927111,1.5,0.8116089669872225,195.46697738256168,1.5,0.1919972518051712,287.8654596913304,10.0,0.0709629493357189,116.60093577153418,1.5,0.5073981914429053,2.5,6724,policy 1,dikesnet
589,104,229.4474570902433,10.0,0.0435916304420726,103.45261228504746,10.0,0.4777780800770626,133.56875443185794,1.5,0.1482261779067651,335.4900170495302,1.5,0.9153690627595292,209.85012727321728,1.0,0.9899692384613032,1.5,6733,policy 1,dikesnet
597,12,149.70798419570173,10.0,0.0734023257328398,257.66205864306426,1.0,0.9475764424465744,216.79532185492087,10.0,0.0694476924842443,232.9583712378337,1.0,0.60909775248782,46.90288072046248,1.0,0.5626582088975038,2.5,6741,policy 1,dikesnet
599,93,182.39683884786191,10.0,0.0967816393954809,119.143038982213,1.5,0.2309762106321664,196.64391982731505,10.0,0.2418048933900144,37.03931370980128,1.0,0.7996470137484615,261.7616304187249,1.5,0.5678233155385255,2.5,6743,policy 1,dikesnet
600,122,294.40577880625005,1.5,0.302874886416336,84.51090212352219,1.5,0.5962127888051685,178.35900411175945,1.0,0.999305623954769,305.1847740660445,1.0,0.977914740412766,191.7324590751045,1.5,0.912342450663276,1.5,6744,policy 1,dikesnet
601,25,230.2062270422236,1.5,0.0709371140830524,316.1819823610579,1.0,0.8593697910127948,304.84110438462665,1.5,0.3063446819955995,297.1878483026415,10.0,0.2823317523132592,172.9163826424238,1.0,0.1718995443414691,1.5,6745,policy 1,dikesnet
607,126,176.48043830309118,10.0,0.1629361413317786,93.51787535108494,10.0,0.2389047702719397,174.20344810428327,1.0,0.2991981020346134,297.244153324544,10.0,0.920139514892072,217.14315214273745,10.0,0.4979955548669026,2.5,6751,policy 1,dikesnet
613,95,164.99608325228797,10.0,0.1936358631419567,292.9952478565151,1.5,0.6853180828739001,319.7784794535321,1.0,0.3124211407521855,312.1463233960592,10.0,0.24957498865749,283.2993557891196,1.5,0.773618682269504,1.5,6757,policy 1,dikesnet
617,89,227.44232274330653,1.0,0.2282854692917954,321.4537651409332,1.5,0.4904059695094632,151.83070012985664,1.0,0.3913339120990551,162.39348959814703,1.5,0.3828342963641562,306.04946259844326,1.0,0.6476906428304956,1.5,6761,policy 1,dikesnet
618,26,252.72169490777767,1.0,0.1298040774874617,136.93904313408586,10.0,0.9419190258173884,86.16949694864684,1.0,0.070813062360182,90.72990107037457,10.0,0.7529800823360255,279.0151025042883,1.5,0.7484039861482424,1.5,6762,policy 1,dikesnet
621,96,305.3753977097689,1.0,0.1742581755010804,134.36058135721217,1.0,0.1849643208289193,148.21547144265338,1.5,0.4877547716511341,208.44041073259856,1.5,0.3611898463200774,229.82330488784416,10.0,0.6816195987672196,1.5,6765,policy 1,dikesnet
635,123,175.1786727882015,1.0,0.1436336335299228,239.58269817475428,1.5,0.5345291206945794,239.03520578155647,1.0,0.8188365069364052,165.7727518510828,10.0,0.5786652981244086,147.1106264589067,1.5,0.7047475311449798,2.5,6779,policy 1,dikesnet
638,45,133.5782091832823,1.0,0.2324332405340261,308.80518239919974,1.5,0.5171101480457394,181.5051582215157,1.5,0.472661313913841,316.93099450991195,1.5,0.3147480847184498,228.83833362787908,1.0,0.517112513750745,1.5,6782,policy 1,dikesnet
