,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
0,120,1.5,0,0,Baseline,dikesnet,0.0,0.0,A.1,269.7302430918563,10.0,0.6002628040691543,0,0,0,35464725.321190506,0.017168598301759704,12
1,17,1.5,0,1,Baseline,dikesnet,0.0,0.0,A.1,73.32239356229005,1.0,0.4778345605230167,0,0,0,114572456.55040938,0.05419509787340761,12
2,63,2.5,0,2,Baseline,dikesnet,0.0,0.0,A.1,131.78524919692555,1.0,0.9663859821106389,0,0,0,0.0,0.0,12
3,83,4.5,0,3,Baseline,dikesnet,0.0,0.0,A.1,45.53246153720626,10.0,0.8128280469702791,0,0,0,0.0,0.0,12
4,35,1.5,0,4,Baseline,dikesnet,0.0,0.0,A.1,285.4171501835261,10.0,0.13598444148033573,0,0,0,1465748478.6364555,0.6485426938153822,12
5,125,3.5,0,5,Baseline,dikesnet,0.0,0.0,A.1,64.47143501272167,1.0,0.5486846874901333,0,0,0,66762237.11480911,0.054907564898222946,12
6,103,4.5,0,6,Baseline,dikesnet,0.0,0.0,A.1,276.9645252560989,10.0,0.5699708228240997,0,0,0,16785732.434641812,0.017541513395895065,12
7,61,1.5,0,7,Baseline,dikesnet,0.0,0.0,A.1,349.6852390236685,10.0,0.03978951633479298,0,0,0,1443828390.2820473,0.6363653865670277,12
8,88,3.5,0,8,Baseline,dikesnet,0.0,0.0,A.1,259.5205931653269,1.5,0.8639499136577996,0,0,0,0.0,0.0,12
9,3,2.5,0,9,Baseline,dikesnet,0.0,0.0,A.1,335.912100139501,1.0,0.3054682315616349,0,0,0,1084260164.982513,0.6456335896806865,12
10,27,4.5,0,10,Baseline,dikesnet,0.0,0.0,A.1,346.0526409298047,1.0,0.10240384058621267,0,0,0,682312357.2172732,0.649959742482804,12
11,44,4.5,0,11,Baseline,dikesnet,0.0,0.0,A.1,103.41546834159396,10.0,0.8091587550931632,0,0,0,0.0,0.0,12
12,65,1.5,0,12,Baseline,dikesnet,0.0,0.0,A.1,175.0530490719842,1.5,0.8525223904157985,0,0,0,0.0,0.0,12
13,41,3.5,0,13,Baseline,dikesnet,0.0,0.0,A.1,252.88079368159262,10.0,0.9525452258880849,0,0,0,0.0,0.0,12
14,47,3.5,0,14,Baseline,dikesnet,0.0,0.0,A.1,112.19934009418112,10.0,0.6724327164913609,0,0,0,20554687.013844386,0.017279975574982884,12
15,21,2.5,0,15,Baseline,dikesnet,0.0,0.0,A.1,321.765413734772,10.0,0.19554567604132675,0,0,0,1064669059.6780152,0.6309955431811596,12
16,107,2.5,0,16,Baseline,dikesnet,0.0,0.0,A.1,153.23072254526633,1.0,0.09153703901939413,0,0,0,1073068833.8272362,0.637261346590759,12
17,114,3.5,0,17,Baseline,dikesnet,0.0,0.0,A.1,170.88943591080294,1.5,0.2332876890258648,0,0,0,838062195.3461595,0.6419917049558577,12
18,100,4.5,0,18,Baseline,dikesnet,0.0,0.0,A.1,238.60122127244676,1.5,0.1406351387400743,0,0,0,669846127.5317292,0.6350585055156802,12
19,8,1.5,0,19,Baseline,dikesnet,0.0,0.0,A.1,108.88439954767149,1.5,0.6173738339854666,0,0,0,36024835.9330459,0.01748644132222145,12
20,19,2.5,0,20,Baseline,dikesnet,0.0,0.0,A.1,94.10253891774497,1.0,0.17723393089376696,0,0,0,1078078069.8113136,0.6409997251817328,12
21,92,2.5,0,21,Baseline,dikesnet,0.0,0.0,A.1,223.6357288222791,10.0,0.5114455241958447,0,0,0,83199047.02595156,0.05277553507426479,12
22,115,3.5,0,22,Baseline,dikesnet,0.0,0.0,A.1,331.7516012340402,10.0,0.4829206430516715,0,0,0,64653449.48665984,0.052831435890969634,12
23,58,1.5,0,23,Baseline,dikesnet,0.0,0.0,A.1,209.32215742110526,1.0,0.7631970307842961,0,0,0,1771300.9898510375,0.0008680211510651011,12
