,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
0,80,1.5,0,0,Baseline,dikesnet,0.0,0.0,A.1,180.651092922237,1.0,0.39269185527318634,0,0,0,621961631.7410378,0.28086379514051296,36
1,27,4.5,0,1,Baseline,dikesnet,0.0,0.0,A.1,227.04050783215547,10.0,0.5848990655488852,0,0,0,26149332.430058155,0.027120868974036882,36
2,17,2.5,0,2,Baseline,dikesnet,0.0,0.0,A.1,300.30273523333966,10.0,0.62905202595785,0,0,0,24846020.701358274,0.016165039492049567,36
3,52,4.5,0,3,Baseline,dikesnet,0.0,0.0,A.1,323.8003744698261,10.0,0.5662917317658414,0,0,0,24909973.941509843,0.025607426435364684,36
4,131,1.5,0,4,Baseline,dikesnet,0.0,0.0,A.1,335.84146092526856,1.0,0.0944521918549567,0,0,0,1548985929.1990266,0.6827061889560047,36
5,40,3.5,0,5,Baseline,dikesnet,0.0,0.0,A.1,106.3442620346681,10.0,0.9767379464876181,0,0,0,0.0,0.0,36
6,42,3.5,0,6,Baseline,dikesnet,0.0,0.0,A.1,136.34592783632945,1.5,0.547885484639202,0,0,0,52014687.44709468,0.04287058244254722,36
7,117,1.5,0,7,Baseline,dikesnet,0.0,0.0,A.1,51.42113680501301,1.0,0.6391380314604134,0,0,0,34019851.46015384,0.016478131473084266,36
8,128,3.5,0,8,Baseline,dikesnet,0.0,0.0,A.1,68.01936978655057,1.0,0.991093242565686,0,0,0,0.0,0.0,36
9,102,1.5,0,9,Baseline,dikesnet,0.0,0.0,A.1,222.109048701622,1.5,0.5749112117798952,0,0,0,54297381.64273699,0.02600046269385816,36
10,11,4.5,0,10,Baseline,dikesnet,0.0,0.0,A.1,209.17961684431458,1.5,0.042955650070230854,0,0,0,711403847.5650294,0.6726816828435178,36
11,63,4.5,0,11,Baseline,dikesnet,0.0,0.0,A.1,141.65355251259044,1.0,0.10778291473014513,0,0,0,710023850.0078118,0.6710359576659435,36
12,20,3.5,0,12,Baseline,dikesnet,0.0,0.0,A.1,266.58771739946405,1.0,0.8142219408144943,0,0,0,0.0,0.0,36
13,36,1.5,0,13,Baseline,dikesnet,0.0,0.0,A.1,90.00630209044652,1.0,0.13909598006726923,0,0,0,1513575105.9634886,0.6630816777400522,36
14,69,4.5,0,14,Baseline,dikesnet,0.0,0.0,A.1,346.7073895255097,10.0,0.42203326005797526,0,0,0,181373710.55299148,0.17933196517160588,36
15,119,2.5,0,15,Baseline,dikesnet,0.0,0.0,A.1,286.40427331364384,10.0,0.03816163354643699,0,0,0,1147690769.5339656,0.6810312326174472,36
16,70,4.5,0,16,Baseline,dikesnet,0.0,0.0,A.1,284.6104317230022,1.0,0.32542372224357574,0,0,0,720035127.4393704,0.682975728384648,36
17,89,1.5,0,17,Baseline,dikesnet,0.0,0.0,A.1,47.35355342142903,1.0,0.7809036281525802,0,0,0,6883297.085862547,0.00337965192035981,36
18,30,1.5,0,18,Baseline,dikesnet,0.0,0.0,A.1,93.99792398303887,1.0,0.4379797912835328,0,0,0,309802988.6098751,0.14298905246396781,36
19,13,3.5,0,19,Baseline,dikesnet,0.0,0.0,A.1,235.31947613849215,10.0,0.2632610123757793,0,0,0,872304826.053607,0.6629791691990242,36
